Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
1004,16192594.0,CCCC1=[N+](CCN2C1=CC=C2C)CC(=O)C.[Br-],>47 [ug/mL] (The mean of the results at pH 7.4),>47 [ug/mL] (The mean of the results at pH 7.4)
1005,16192599.0,CCC(=O)OC1(C(CN(CC1C)C)C)C2=CC=CC=C2.Cl,>46.8 [ug/mL] (The mean of the results at pH 7.4),>46.8 [ug/mL] (The mean of the results at pH 7.4)
1006,16192621.0,C1=CC=NC(=C1)CC2=CC=C(C=C2)N.Cl,>38.6 [ug/mL] (The mean of the results at pH 7.4),>38.6 [ug/mL] (The mean of the results at pH 7.4)
1007,16192623.0,COC1=C(C=C(C=C1)C=O)CN2C=CN=C2.Cl,>37.9 [ug/mL] (The mean of the results at pH 7.4),>37.9 [ug/mL] (The mean of the results at pH 7.4)
1008,16192627.0,CC1=NC2=C(N1C3CCCCC3)C=CC(=C2)N.Cl,>45.3 [ug/mL] (The mean of the results at pH 7.4),>45.3 [ug/mL] (The mean of the results at pH 7.4)
1009,16192628.0,CC1=C(SC=C1)CNC2C3CC4CC(C3)CC2C4.Cl,39.9 [ug/mL] (The mean of the results at pH 7.4),39.9 [ug/mL] (The mean of the results at pH 7.4)
1010,16192632.0,CC1C2=C(CC(N1)(C)C)C3=CC=CC=C3C=C2.Cl,37.6 [ug/mL] (The mean of the results at pH 7.4),37.6 [ug/mL] (The mean of the results at pH 7.4)
1011,16192634.0,CC1=CC=CC=C1C(=O)NCCN2CCOCC2.Cl,>42.7 [ug/mL] (The mean of the results at pH 7.4),>42.7 [ug/mL] (The mean of the results at pH 7.4)
1012,16192636.0,C1CCC(C1)NCC2=CN=CC=C2.Cl,>37.4 [ug/mL] (The mean of the results at pH 7.4),>37.4 [ug/mL] (The mean of the results at pH 7.4)
1013,16192641.0,CC1=C(C(=NN1CCN)C)Cl.Cl,23.4 [ug/mL] (The mean of the results at pH 7.4),23.4 [ug/mL] (The mean of the results at pH 7.4)
1014,16192642.0,CCN1C(=NC2=C1C=CC(=C2)N)C.Cl,34.3 [ug/mL] (The mean of the results at pH 7.4),34.3 [ug/mL] (The mean of the results at pH 7.4)
1015,16192652.0,CN(C)C(=O)N1CCNCC1.Cl,>29.1 [ug/mL] (The mean of the results at pH 7.4),>29.1 [ug/mL] (The mean of the results at pH 7.4)
1016,16192654.0,CN1C(=NN=N1)SCCNCC2=C(C(=C(C=C2)OC)OC)OC.Cl,35.7 [ug/mL] (The mean of the results at pH 7.4),35.7 [ug/mL] (The mean of the results at pH 7.4)
1017,16192657.0,CC(C)CNCC1OCC2=CC=CC=C2CO1.Cl,>40.8 [ug/mL] (The mean of the results at pH 7.4),>40.8 [ug/mL] (The mean of the results at pH 7.4)
1018,16192662.0,CCC1=CC=C(C=C1)CNCC2=CC=CS2.Cl,23.9 [ug/mL] (The mean of the results at pH 7.4),23.9 [ug/mL] (The mean of the results at pH 7.4)
1019,16192668.0,CC(COC)NCC1=CC=CC2=CC=CC=C21.C(=O)(C(=O)O)O,>47.9 [ug/mL] (The mean of the results at pH 7.4),>47.9 [ug/mL] (The mean of the results at pH 7.4)
1020,16192672.0,CC1=C(SC=C1)CNC23CC4CC(C2)CC(C4)C3.Cl,38.1 [ug/mL] (The mean of the results at pH 7.4),38.1 [ug/mL] (The mean of the results at pH 7.4)
1021,16192673.0,C1CN2CCC1C(C2)NCC3=CC=CC=C3F.Cl,>46.1 [ug/mL] (The mean of the results at pH 7.4),>46.1 [ug/mL] (The mean of the results at pH 7.4)
1022,16192674.0,CN1C(=NN=N1)SCCNCC2=CC(=C(C=C2OC)OC)OC.Cl,33.1 [ug/mL] (The mean of the results at pH 7.4),33.1 [ug/mL] (The mean of the results at pH 7.4)
1023,16192681.0,C1C2CC3CC1CC(C2)(C3)NCC4=CC=NC=C4.Cl,>47.3 [ug/mL] (The mean of the results at pH 7.4),>47.3 [ug/mL] (The mean of the results at pH 7.4)
1024,16192700.0,CC(C)(C)C(CC#CCN1CCCC1)(C2=CC=CC=C2)O.Cl,>48.3 [ug/mL] (The mean of the results at pH 7.4),>48.3 [ug/mL] (The mean of the results at pH 7.4)
1025,16192705.0,CCN(CC)CCN1C(=NC2=CC=CC=C21)C.Cl,40.6 [ug/mL] (The mean of the results at pH 7.4),40.6 [ug/mL] (The mean of the results at pH 7.4)
1026,16192727.0,CC1=C(C=C(C=C1)NCC2=CC=CO2)C.C(=O)(C(=O)O)O,4.7 [ug/mL] (The mean of the results at pH 7.4),4.7 [ug/mL] (The mean of the results at pH 7.4)
1027,16192728.0,CN1CCN(CC1)C(=O)NC2=CC=CC=C2.C(=O)(C(=O)O)O,>46.4 [ug/mL] (The mean of the results at pH 7.4),>46.4 [ug/mL] (The mean of the results at pH 7.4)
1028,16192730.0,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)C[N+]2=CC=CC=C2.[Cl-],>46.2 [ug/mL] (The mean of the results at pH 7.4),>46.2 [ug/mL] (The mean of the results at pH 7.4)
1029,16192734.0,C1COCCN1CCC(=O)C2=CC=C(C=C2)Br.Cl,45.75 [ug/mL] (The mean of the results at pH 7.4),45.75 [ug/mL] (The mean of the results at pH 7.4)
1030,16192747.0,C1CCN(CC1)CC#CCOCC2=CC=CC=C2.Cl,39 [ug/mL] (The mean of the results at pH 7.4),39 [ug/mL] (The mean of the results at pH 7.4)
1031,16192750.0,COC1CCCCC1NCCC2=CC=CC=C2.C(=O)(C(=O)O)O,>48.5 [ug/mL] (The mean of the results at pH 7.4),>48.5 [ug/mL] (The mean of the results at pH 7.4)
1032,16192754.0,COC(=O)CN1C2=CC=CC=C2N3C1=NCCC3.Br,>48.9 [ug/mL] (The mean of the results at pH 7.4),>48.9 [ug/mL] (The mean of the results at pH 7.4)
1033,16192755.0,CC1=CC([N+](C2=CC=CC=C12)(C)C)(C)C.[I-],41 [ug/mL] (The mean of the results at pH 7.4),41 [ug/mL] (The mean of the results at pH 7.4)
1034,16192763.0,CC(C)OC1=C(C=C(C=C1)CCN=C(N)N=C(N)N)Cl.Cl,>50.1 [ug/mL] (The mean of the results at pH 7.4),>50.1 [ug/mL] (The mean of the results at pH 7.4)
1035,16192764.0,CC1=CC=C(C=C1)C2=CC=[N+](C=C2)CC3=CC=CC=C3.[Cl-],>44.4 [ug/mL] (The mean of the results at pH 7.4),>44.4 [ug/mL] (The mean of the results at pH 7.4)
1036,16192773.0,CC(=O)NC1=CC=C(C=C1)CNC(=O)C[N+]2(CCOCC2)C.[Cl-],46.2 [ug/mL] (The mean of the results at pH 7.4),46.2 [ug/mL] (The mean of the results at pH 7.4)
1037,16192788.0,CC(=O)OC1(CCN(CC1(C)C)C)C2=CC=CC=C2.Cl,44.2 [ug/mL] (The mean of the results at pH 7.4),44.2 [ug/mL] (The mean of the results at pH 7.4)
1038,16192794.0,C1CN(CC2=CC=CC=C21)CCC(=O)NC3=CC(=C(C=C3)F)F.Cl,37.9 [ug/mL] (The mean of the results at pH 7.4),37.9 [ug/mL] (The mean of the results at pH 7.4)
1039,16192799.0,CCCCCCN1C2=CC=CC=C2N3C1=NCCC3.Cl,>44.1 [ug/mL] (The mean of the results at pH 7.4),>44.1 [ug/mL] (The mean of the results at pH 7.4)
1040,16192801.0,C1=CC=C(C=C1)CNCC2=CC(=CC=C2)[N+](=O)[O-].Cl,40.2 [ug/mL] (The mean of the results at pH 7.4),40.2 [ug/mL] (The mean of the results at pH 7.4)
1041,16192809.0,C1COCCN1CCCS(=O)(=O)C2=CC(=C(C=C2)F)[N+](=O)[O-].Cl,>55.3 [ug/mL] (The mean of the results at pH 7.4),>55.3 [ug/mL] (The mean of the results at pH 7.4)
1042,16192812.0,C1CN=C2N(C1)C3=CC=CC=C3N2CCCl.Cl,>40.8 [ug/mL] (The mean of the results at pH 7.4),>40.8 [ug/mL] (The mean of the results at pH 7.4)
1043,16192814.0,C[N+](C)(C/C=C\C1=CC=CC=C1)CC(=O)OC.[Br-],>47.1 [ug/mL] (The mean of the results at pH 7.4),>47.1 [ug/mL] (The mean of the results at pH 7.4)
1044,16192831.0,CC(C(=O)NC1CCCCC1)NCC2=CC=C(C=C2)F.C(=O)(C(=O)O)O,>55.3 [ug/mL] (The mean of the results at pH 7.4),>55.3 [ug/mL] (The mean of the results at pH 7.4)
1045,16192833.0,CC1CCCCN1C(=O)CNCC2CCCO2.C(=O)(C(=O)O)O,>49.6 [ug/mL] (The mean of the results at pH 7.4),>49.6 [ug/mL] (The mean of the results at pH 7.4)
1046,16192836.0,CC1=C[N+](=CC=C1)CC(=O)NC2=NC3=CC=CC=C3S2.[Cl-],>48 [ug/mL] (The mean of the results at pH 7.4),>48 [ug/mL] (The mean of the results at pH 7.4)
1047,16192838.0,COCCNC(=O)CN1CCCCCC1.Cl,34.8 [ug/mL] (The mean of the results at pH 7.4),34.8 [ug/mL] (The mean of the results at pH 7.4)
1048,16192840.0,C1=CC(=CC=C1CN2C=C(C=N2)N)F.Cl,>34.2 [ug/mL] (The mean of the results at pH 7.4),>34.2 [ug/mL] (The mean of the results at pH 7.4)
1049,16192843.0,CC1=CC=[N+](C=C1)CC2OCC3=CC=CC=C3CO2.[Br-],>50.4 [ug/mL] (The mean of the results at pH 7.4),>50.4 [ug/mL] (The mean of the results at pH 7.4)
1050,16192845.0,CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)N3CCCC3.Cl,7.8 [ug/mL] (The mean of the results at pH 7.4),7.8 [ug/mL] (The mean of the results at pH 7.4)
1051,16192855.0,CCC1=CC2=C(N=CN=C2S1)NC3CCCC3.Cl,30.8 [ug/mL] (The mean of the results at pH 7.4),30.8 [ug/mL] (The mean of the results at pH 7.4)
1052,16192856.0,CCC1CCCCN1C(=O)CNCC2CCCO2.Cl,27.4 [ug/mL] (The mean of the results at pH 7.4),27.4 [ug/mL] (The mean of the results at pH 7.4)
1053,16192861.0,CC1=CC2=C(C=C1C)C(=NC(C2)(C)C)C.Cl,>35.7 [ug/mL] (The mean of the results at pH 7.4),>35.7 [ug/mL] (The mean of the results at pH 7.4)
1054,16192869.0,C1CCCC(CC1)NCC2=CC=CC=C2[N+](=O)[O-].C(=O)(C(=O)O)O,>50.8 [ug/mL] (The mean of the results at pH 7.4),>50.8 [ug/mL] (The mean of the results at pH 7.4)
1055,16192875.0,CC1=C[N+](=CC=C1)CC2=CC=C(C=C2)[N+](=O)[O-].[Br-],>46.4 [ug/mL] (The mean of the results at pH 7.4),>46.4 [ug/mL] (The mean of the results at pH 7.4)
1056,16192886.0,CCC1=NN(C(=C1C)N)C.Cl,>26.3 [ug/mL] (The mean of the results at pH 7.4),>26.3 [ug/mL] (The mean of the results at pH 7.4)
1057,16192895.0,CC1=CC2=NC(=C(N2C=C1)NC3CCCC3)C4=CC=CS4.Cl,14.7 [ug/mL] (The mean of the results at pH 7.4),14.7 [ug/mL] (The mean of the results at pH 7.4)
1058,16192900.0,C=CCN1C2=CC=CC=C2N3C1=NCCC3.Br,>44.1 [ug/mL] (The mean of the results at pH 7.4),>44.1 [ug/mL] (The mean of the results at pH 7.4)
1059,16192904.0,CC1=C(C=C[N+](=C1C)CC(=O)C2=CC=CC=C2)N.[Br-],>48.2 [ug/mL] (The mean of the results at pH 7.4),>48.2 [ug/mL] (The mean of the results at pH 7.4)
1060,16192913.0,C1COC2=C(O1)C=CC(=C2)C3=NN=C(SC3)N.Br,32.5 [ug/mL] (The mean of the results at pH 7.4),32.5 [ug/mL] (The mean of the results at pH 7.4)
1061,16192915.0,CC1CCCN(C1)C2=C(C=C(C=C2)F)N.Cl,3.8 [ug/mL] (The mean of the results at pH 7.4),3.8 [ug/mL] (The mean of the results at pH 7.4)
1062,16192916.0,CC(C)(C)N(C)CCOC(=O)C1=CC2=C(C=C1)OCO2.Cl,41.7 [ug/mL] (The mean of the results at pH 7.4),41.7 [ug/mL] (The mean of the results at pH 7.4)
1063,16192918.0,CC1CCC2=C(N3C(=NC=N3)N=C2C1)NCCN(C)C.Cl,39.9 [ug/mL] (The mean of the results at pH 7.4),39.9 [ug/mL] (The mean of the results at pH 7.4)
1064,16192919.0,CC1=CC=C(C=C1)C#CC[N+](C)(C)CC#C.[Br-],>43.8 [ug/mL] (The mean of the results at pH 7.4),>43.8 [ug/mL] (The mean of the results at pH 7.4)
1065,16192920.0,CCC1=NC=CN1CC2=C(C=CC(=C2)C=O)OC.Cl,>42.1 [ug/mL] (The mean of the results at pH 7.4),>42.1 [ug/mL] (The mean of the results at pH 7.4)
1066,16192922.0,C1=CSC(=C1)CNCC2=CC=NC=C2.Cl,>36.1 [ug/mL] (The mean of the results at pH 7.4),>36.1 [ug/mL] (The mean of the results at pH 7.4)
1067,16192923.0,CC1=CC(=CC=C1)C(=O)OC(C)CN2CCN(CC2)C.Cl,>46.9 [ug/mL] (The mean of the results at pH 7.4),>46.9 [ug/mL] (The mean of the results at pH 7.4)
1068,16192924.0,CC(C)C1=NC2=CC=CC=C2N1CC=C.Cl,>35.5 [ug/mL] (The mean of the results at pH 7.4),>35.5 [ug/mL] (The mean of the results at pH 7.4)
1069,16192925.0,CN1C=CN=C1SCC(=O)C2=CC=C(C=C2)Cl.Br,48.9 [ug/mL] (The mean of the results at pH 7.4),48.9 [ug/mL] (The mean of the results at pH 7.4)
1070,16192928.0,CN1CCN(CC1)C(=S)NCCOC.C(=O)(C(=O)O)O,>46.1 [ug/mL] (The mean of the results at pH 7.4),>46.1 [ug/mL] (The mean of the results at pH 7.4)
