Molecular_Weight,SMILES,sol_final,LogS
343.85100000000006,CC1CCCN(C1)CC(COCC2=CC3=C(C=C2)OCO3)O.Cl,0.039,-3.9453056846844063
233.698,C1CN=C(C2=CC=CC=C21)C3=CC=CO3.Cl,0.0279,-3.923050792419098
255.78900000000004,CC1(CC(CCO1)NCC2=CC=CC=C2)C.Cl,0.0342,-3.873855758003544
336.259,CC1=CC(=CC(=C1Cl)C)OCC(CN2CCOCC2)O.Cl,0.0452,-3.87153548228244
313.869,CC1CC(CN(C1)CC(COCC2=CC=CC=C2)O)C.Cl,0.0469,-3.8255755810009653
339.3019999999999,CC(C)(C)C1=CC=C(C=C1)C2=CSC3=NCCN23.Br,0.0494,-3.8368594706578216
320.25999999999993,CC1=CC(=CC(=C1Cl)C)OCC(CN2CCCC2)O.Cl,0.0423,-3.879162331937903
348.269,CC1=CC(=NC=C1)NC2=NC(=CS2)C3=CC=CC=C3.Br,0.0004,-5.939854827580148
383.34,CC1=CC(=NC=C1)NC2=NC(=CS2)C3=C(N=C(S3)C)C.Br,0.0036,-5.027281637748496
375.291,CC(=O)C1=CC(=CC=C1)NC2=NC(=CS2)C3=CC=CC=C3.Br,0.0021,-5.252148854818508
333.944,CC1CCN(CC1)CC(COC2CC(CC(C2)(C)C)C)O.Cl,0.0455,-3.8656622482081704
363.86000000000007,C1COC(CN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=C3.Cl,0.0503,-3.8593663301233234
281.783,CCOC(=O)C1=CCN(CC1)CC2=CC=CC=C2.Cl,0.0378,-3.8724229886916244
333.944,CC1CCN(CC1)CC(COC2CC(CC(C2)(C)C)C)O.Cl,0.0455,-3.8656622482081704
363.86000000000007,C1COC(CN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=C3.Cl,0.0503,-3.8593663301233234
281.783,CCOC(=O)C1=CCN(CC1)CC2=CC=CC=C2.Cl,0.0378,-3.8724229886916244
343.8550000000001,CN1CCN(CC1)CCC(=O)NC2=C(C=CC(=C2)OC)OC.Cl,0.0442,-3.8909530744565393
271.78799999999995,COC1=CC=C(C=C1)CCNCC2CCCO2.Cl,0.0352,-3.88768761434575
340.854,CC1=CC2=C(C=C1)N=C3CCCC3=C2NC4=CC=C(C=C4)OC.Cl,0.0366,-3.969087309515492
370.8150000000001,C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)F)NCC4=CC=CO4.Cl,0.0021,-5.246937998930202
320.21599999999995,CC(CN1CCOCC1)OC(=O)C2=CC(=CC=C2)Cl.Cl,0.0432,-3.8699592813870662
273.735,CN1CCCC(C1)OC(=O)C2=CC=CC=C2F.Cl,0.0397,-3.838539823475152
301.78900000000004,CC(CN1CCCCC1)OC(=O)C2=CC(=CC=C2)F.Cl,0.0424,-3.8523375494022942
364.4640000000001,CCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C.C(=O)(C(=O)O)O,0.0533,-3.8349274282269317
320.21599999999995,CC(CN1CCOCC1)OC(=O)C2=CC=C(C=C2)Cl.Cl,0.0441,-3.86100443873414
354.6609999999999,CC(CN1CCOCC1)OC(=O)C2=C(C=C(C=C2)Cl)Cl.Cl,0.0489,-3.8605045751447187
367.917,C1CCC(CC1)C(C#CCN(CCO)CCO)(C2=CC=CC=C2)O.Cl,0.053,-3.8414739857367795
345.8260000000001,CC1=CC=C(C=C1)C(=O)C2=COC3=C2C(=C(C=C3)O)CN(C)C.Cl,0.048,-3.8576164040552383
358.3660000000001,C1CN(CCN1)CCOCCOC2=CC=C(C=C2)F.C(=O)(C(=O)O)O,0.051,-3.8467566231264545
345.3950000000001,CC1=CC(=C(C=C1)OCCNCC2=CC=CC=C2)C.C(=O)(C(=O)O)O,0.0458,-3.877450568348223
423.2930000000001,CC1=CC(=C(C(=C1)Cl)OCCOCCN2CCNCC2)Cl.C(=O)(C(=O)O)O,0.0625,-3.830761069257717
352.77400000000006,C=CCC1=C(C=CC(=C1)Cl)OCCN2C=CN=C2.C(=O)(C(=O)O)O,0.0395,-3.950899473824746
346.3830000000001,CC1=CC(=C(C=C1)OCCCN2C=CN=C2)CC=C.C(=O)(C(=O)O)O,0.0291,-4.075663580308122
396.4840000000001,CC1=CC(=C(C=C1)C(C)C)OCCOCCN2CCNCC2.C(=O)(C(=O)O)O,0.0521,-3.8813879428763802
351.3150000000001,CC1=C(C=CC(=C1)OCCCN2C=CN=C2)[N+](=O)[O-].C(=O)(C(=O)O)O,0.0368,-3.979848874466514
269.77199999999993,CC1=CC=CC=C1C(=O)OC2CCCN(C2)C.Cl,0.0399,-3.8300239759777672
299.79799999999994,CC(CN1CCOCC1)OC(=O)CC2=CC=CC=C2.Cl,0.0333,-3.9543844977682454
299.79799999999994,CC1=CC=C(C=C1)C(=O)OC(C)CN2CCOCC2.Cl,0.0389,-3.8868791299488574
299.79799999999994,CC1=CC(=CC=C1)C(=O)OC(C)CN2CCOCC2.Cl,0.0389,-3.8868791299488574
380.41600000000005,C1CCN(C1)C(=O)C2CCCN(C2)CC3=CC=CC=C3F.C(=O)(C(=O)O)O,0.0432,-3.944775027921494
334.85,C1=CC=C(C=C1)CN2C=[N+](C3=CC=CC=C32)CC4=CC=CC=C4.[Cl-],0.0429,-3.8923930110874743
359.4220000000001,CC1=CC(=C(C(=C1)C)OCCNCC2=CC=CC=C2)C.C(=O)(C(=O)O)O,0.0425,-3.9272157264348975
379.84000000000015,CC1=CC(=CC(=C1OCCNCC2=CC=CC=C2)C)Cl.C(=O)(C(=O)O)O,0.0445,-3.931240686293566
322.31700000000006,CC1=NC=CN1CCOC2=CC=C(C=C2)OC.C(=O)(C(=O)O)O,0.0417,-3.8881471571829693
373.4490000000001,C1CCCN(CC1)CCCOC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O,0.0328,-4.056357457136133
349.35800000000006,CN(CCOC1=CC=C(C=C1)F)CC2=CC=CC=C2.C(=O)(C(=O)O)O,0.0346,-4.00419459388439
334.1660000000001,CN(C)CCOC1=CC(=CC=C1)Br.C(=O)(C(=O)O)O,0.0446,-3.874627401436645
301.314,CN(C)CCCCOC1=CC=CC=C1F.C(=O)(C(=O)O)O,0.0172,-4.243490863927752
362.4260000000001,CC1=CC(=C(C=C1)C(C)C)OCCCN2C=CN=C2C.C(=O)(C(=O)O)O,0.0512,-3.849949384903931
325.40500000000003,CCC(C)NCCOC1=CC(=CC(=C1C)C)C.C(=O)(C(=O)O)O,0.0351,-3.9671171053240957
348.39900000000006,CC1=CC(=C(C=C1)C(C)C)OCCN2C=CN=C2C.C(=O)(C(=O)O)O,0.0467,-3.8727600192278797
326.7360000000001,CC1=NC=CN1CCOC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,0.045,-3.8609844742048423
318.196,C1CN=C(N1)SCC2=CC=C(C=C2)[N+](=O)[O-].Br,0.0432,-3.867210969071243
334.891,C1C2CC3CC1CC(C2)C3NC(=O)CNCC4=CC=CC=C4.Cl,0.0502,-3.824199759141166
284.8309999999999,CC1=CC(=C(C=C1)C)OCCCN2CCNCC2.Cl,0.0393,-3.860194704239226
287.75,CC1=CC(=C(C=C1)O)NC2=NC=NC3=CC=CC=C32.Cl,0.0045,-4.805802818526486
345.91400000000004,CC1=CC(=C(C=C1)OCCCCN2CCC3=CC=CC=C3C2)C.Cl,0.0048,-4.8577269019724145
352.43100000000004,CC1=C(C(=CC=C1)C)OCCCCN2CCNCC2.C(=O)(C(=O)O)O,0.046,-3.884316270489793
350.37100000000004,COC1=CC=C(C=C1)OCC#CCN2CCNCC2.C(=O)(C(=O)O)O,0.0524,-3.8251968657030067
333.859,COC1=CC=C(C=C1)OCCCN2CCC3=CC=CC=C3C2.Cl,0.0365,-3.961270223759134
359.941,CC1=CC(=C(C=C1)C(C)C)OCCCN2CCC3=CC=CC=C3C2.Cl,0.0031,-5.064869625059806
284.79,CC1=CC(=NC=C1)NCC2=CC=CC3=CC=CC=C32.Cl,0.0158,-4.255867648638675
356.89400000000006,CC(C)(C)C1=CC=C(C=C1)OCC(=O)NCCN2CCOCC2.Cl,0.053,-3.8282633771814476
345.87000000000006,CN1CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,0.0431,-3.904435623742942
338.278,CC1=CC(=C(C=C1)Cl)OCCN2CCC3=CC=CC=C3C2.Cl,0.0044,-4.885821077762674
331.887,CC1=CC=C(C=C1)OCCCCN2CCC3=CC=CC=C3C2.Cl,0.0228,-4.163055394444497
331.887,CC1=CC(=C(C=C1)C)OCCCN2CCC3=CC=CC=C3C2.Cl,0.014,-4.374862205766712
363.37,CCC(=O)C1=CC=CC=C1OCCCCN2C=NC=N2.C(=O)(C(=O)O)O,0.0268,-4.132214274864317
406.3530000000001,CC(C)(CO)NCC1=C(C=CC2=CC=CC=C21)OCC3=CC=C(C=C3)Cl.Cl,0.0571,-3.8522673621396333
353.893,CCOC1=CC=CC=C1CNC(C2=CC=CC=C2)C3=CC=CC=C3.Cl,0.0014,-5.402743936703726
